,age,workclass,fnlwgt,education,education_num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
34,62,Private,224176,11th,10,Married-civ-spouse,Other-service,Not-in-family,Asian-Pac-Islander,Female,3899,2577,40,Outlying-US(Guam-USVI-etc)
35,34,Private,249750,HS-grad,8,Married-civ-spouse,Farming-fishing,Unmarried,Asian-Pac-Islander,Female,21207,3772,47,India
36,36,Private,328765,HS-grad,8,Widowed,Prof-specialty,Wife,White,Female,23930,927,25,Haiti
37,81,Local-gov,21053,HS-grad,19,Never-married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,20757,3433,15,Ecuador
38,44,Private,201894,HS-grad,9,Never-married,Sales,Wife,Other,Female,10302,3131,32,Iran
39,78,Private,83052,Assoc-acdm,17,Never-married,Adm-clerical,Unmarried,Other,Female,17374,2744,38,India
40,79,Federal-gov,300349,Bachelors,17,Separated,Adm-clerical,Not-in-family,Black,Female,27234,1055,41,Columbia
41,44,Private,96159,HS-grad,8,Never-married,Adm-clerical,Not-in-family,Other,Female,9326,3401,49,Cuba
42,46,Self-emp-not-inc,14076,Some-college,10,Never-married,Other-service,Not-in-family,Black,Female,7306,3748,35,Haiti
43,80,Private,99983,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Female,6450,3717,11,Guatemala
44,21,Private,105557,HS-grad,10,Divorced,Exec-managerial,Wife,White,Female,14013,178,43,Holand-Netherlands
45,37,Private,197370,HS-grad,17,Widowed,Sales,Not-in-family,White,Female,9081,2444,38,Portugal
46,78,Private,171282,10th,17,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,35919,1283,43,Greece
47,71,Private,242709,Prof-school,10,Never-married,Sales,Unmarried,Other,Female,32844,715,35,Vietnam
48,24,Private,174575,Bachelors,10,Married-civ-spouse,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,1926,45,Yugoslavia
49,21,Private,124000,Some-college,9,Never-married,Craft-repair,Wife,Amer-Indian-Eskimo,Female,4322,1325,35,Italy
50,49,Private,204764,HS-grad,8,Never-married,Sales,Wife,Asian-Pac-Islander,Female,10138,1590,57,Germany
51,62,Private,372645,HS-grad,19,Married-civ-spouse,Other-service,Own-child,Asian-Pac-Islander,Female,35623,2095,32,Jamaica
52,89,Private,208376,Prof-school,2,Divorced,Farming-fishing,Own-child,Amer-Indian-Eskimo,Female,36069,2969,47,Greece
53,52,Private,22843,Some-college,16,Never-married,Adm-clerical,Not-in-family,White,Female,6065,1906,48,Holand-Netherlands
54,29,Private,98246,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,40284,2579,42,India
55,56,Private,308037,Some-college,10,Never-married,Exec-managerial,Wife,Black,Female,21322,2953,35,Ireland
56,29,State-gov,28201,Some-college,8,Divorced,Sales,Other-relative,Asian-Pac-Islander,Female,11097,394,76,Vietnam
57,38,Private,139039,10th,3,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,13789,618,43,India
58,66,Private,117904,Masters,11,Never-married,Sales,Own-child,Black,Female,33879,2051,38,Germany
59,36,Private,67552,Some-college,10,Separated,Prof-specialty,Wife,Asian-Pac-Islander,Female,10903,3933,64,Trinadad&Tobago
60,31,Private,137045,Some-college,2,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,2822,3287,25,Peru
61,38,Private,195559,9th,13,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,19390,3396,40,Hungary
62,48,Federal-gov,103679,9th,16,Never-married,Protective-serv,Own-child,White,Female,19339,1445,47,India
63,85,Self-emp-not-inc,183601,HS-grad,12,Widowed,Exec-managerial,Not-in-family,White,Female,14254,1042,42,Mexico
64,18,Private,225750,HS-grad,14,Never-married,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,39209,2322,42,Ecuador
65,62,Private,141842,HS-grad,9,Married-civ-spouse,Farming-fishing,Unmarried,White,Female,31157,3688,45,Taiwan
66,74,Private,121222,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Other,Female,25151,2777,40,Greece
67,79,Private,43847,Masters,18,Married-civ-spouse,Prof-specialty,Wife,Other,Female,23556,153,61,Scotland
68,79,Private,243737,Some-college,9,Widowed,Prof-specialty,Unmarried,Black,Female,29275,1539,41,Columbia
69,49,State-gov,282934,HS-grad,3,Never-married,Sales,Not-in-family,White,Female,16993,2635,45,Iran
70,59,Private,141879,Some-college,9,Widowed,Prof-specialty,Unmarried,White,Female,22404,1591,51,Poland
71,49,Local-gov,164630,HS-grad,13,Married-civ-spouse,Sales,Unmarried,Black,Female,10380,3500,50,Hong
72,81,Private,162501,HS-grad,2,Married-civ-spouse,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,5177,4310,16,France
73,77,Private,175578,Bachelors,8,Never-married,Tech-support,Own-child,Amer-Indian-Eskimo,Female,1980,156,35,Holand-Netherlands
74,89,Private,337276,Some-college,10,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,34755,2925,45,England
75,85,Local-gov,173321,HS-grad,10,Never-married,Prof-specialty,Not-in-family,White,Female,10813,1185,56,Ecuador
76,73,State-gov,261156,Masters,8,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,35754,2691,19,China
77,45,Private,33996,Masters,15,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,21672,3853,41,Holand-Netherlands
78,77,Private,156864,Masters,10,Separated,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,18116,3024,54,Yugoslavia
79,29,Private,27734,HS-grad,8,Never-married,Sales,Unmarried,Asian-Pac-Islander,Female,32024,3389,47,Guatemala
80,18,Local-gov,311104,Bachelors,8,Widowed,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,16557,811,52,Outlying-US(Guam-USVI-etc)
81,87,Private,202565,Bachelors,10,Separated,Other-service,Wife,White,Female,2065,3457,43,Germany
82,29,Local-gov,48715,Some-college,15,Divorced,Machine-op-inspct,Unmarried,Black,Female,21299,3929,46,Hong
83,75,Private,229449,HS-grad,17,Married-civ-spouse,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,37203,3831,57,Cuba
84,29,Private,172684,HS-grad,11,Divorced,Sales,Not-in-family,White,Female,0,2241,25,Thailand
85,53,Private,50390,Some-college,8,Never-married,Exec-managerial,Unmarried,White,Female,32746,152,34,Germany
86,25,Private,132184,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,Female,19024,0,38,El-Salvador
87,53,Private,22843,Some-college,11,Separated,Sales,Unmarried,Asian-Pac-Islander,Female,18603,1144,40,Greece
88,78,State-gov,229555,Bachelors,9,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,18298,213,38,Japan
89,19,Private,54395,Masters,11,Never-married,Exec-managerial,Own-child,Black,Female,25977,3902,37,Hong
90,37,Private,290508,11th,9,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Female,25163,1956,32,Haiti
91,56,Private,199831,11th,8,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Female,2210,2267,95,Mexico
92,43,Federal-gov,203362,HS-grad,9,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,6973,2631,34,France
93,71,Private,55624,10th,10,Never-married,Tech-support,Unmarried,Black,Female,13639,830,40,Trinadad&Tobago
94,33,Private,160126,Some-college,17,Never-married,Adm-clerical,Wife,White,Female,2854,1888,40,Taiwan
95,84,Private,203941,1st-4th,17,Never-married,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0,1985,34,India
96,37,Private,33746,HS-grad,8,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,34428,421,58,Iran
97,68,Private,77506,5th-6th,8,Widowed,Adm-clerical,Not-in-family,Other,Female,21060,637,35,Holand-Netherlands
98,37,Private,86046,10th,9,Divorced,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,18548,1691,58,Germany
99,59,Private,146199,Some-college,8,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,15121,1877,56,Cuba
100,72,State-gov,175010,Masters,8,Married-civ-spouse,Transport-moving,Own-child,Amer-Indian-Eskimo,Female,20569,3741,36,Ecuador
101,75,Private,233700,HS-grad,1,Never-married,Other-service,Own-child,White,Female,21010,3115,37,Nicaragua
102,43,Private,111024,Some-college,15,Divorced,Exec-managerial,Unmarried,White,Female,22014,2183,39,Puerto-Rico
103,26,Private,62666,10th,11,Never-married,Prof-specialty,Own-child,Black,Female,26017,2097,12,Thailand
104,82,Private,156944,Masters,2,Married-civ-spouse,Tech-support,Own-child,White,Female,658,1969,45,Germany
105,75,Private,121976,HS-grad,10,Never-married,Exec-managerial,Own-child,Other,Female,9468,294,37,India
106,82,State-gov,17655,7th-8th,19,Married-civ-spouse,Prof-specialty,Wife,Other,Female,17167,322,38,Puerto-Rico
107,76,Private,388226,Bachelors,10,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,552,1318,32,Taiwan
108,40,Private,105464,10th,8,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,13433,1135,44,England
109,44,Private,70293,Some-college,11,Divorced,Adm-clerical,Own-child,White,Female,20778,1161,38,Trinadad&Tobago
110,87,Local-gov,125066,HS-grad,6,Married-civ-spouse,Prof-specialty,Other-relative,Other,Female,11627,3694,58,Puerto-Rico
111,23,Private,226078,Assoc-voc,10,Married-civ-spouse,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,35581,146,34,Hong
112,26,Private,218331,HS-grad,8,Divorced,Prof-specialty,Own-child,White,Female,22920,3228,35,China
113,51,Private,78023,Some-college,9,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Female,24128,917,42,Japan
114,36,Private,112110,Bachelors,10,Never-married,Craft-repair,Not-in-family,Black,Female,11060,3922,39,England
115,59,Private,114829,HS-grad,8,Divorced,Machine-op-inspct,Unmarried,Other,Female,21154,267,40,Scotland
116,62,Private,138467,Prof-school,12,Never-married,Other-service,Wife,Black,Female,13379,1723,46,Italy
117,35,Private,247111,HS-grad,10,Married-civ-spouse,Other-service,Not-in-family,Other,Female,17143,3662,35,Cambodia
118,67,Self-emp-not-inc,137522,5th-6th,10,Married-civ-spouse,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,37138,4121,59,Greece
119,44,Federal-gov,78545,Some-college,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,Other,Female,38625,129,39,Jamaica
120,30,Private,151602,10th,17,Never-married,Adm-clerical,Wife,White,Female,21861,3888,15,Philippines
121,75,Private,175661,Bachelors,10,Divorced,Other-service,Wife,Asian-Pac-Islander,Female,19027,2718,45,Scotland
122,79,Private,57993,HS-grad,8,Divorced,Adm-clerical,Not-in-family,Black,Female,34807,2345,42,France
123,17,Self-emp-not-inc,40504,HS-grad,11,Married-civ-spouse,Other-service,Wife,Black,Female,24647,1817,48,Nicaragua
124,34,Local-gov,206515,Assoc-voc,15,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,507,3046,35,Philippines
125,50,Self-emp-not-inc,93166,Bachelors,11,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,33458,2949,55,England
126,84,Private,48000,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,6525,0,44,Honduras
127,40,Private,140473,11th,10,Divorced,Adm-clerical,Not-in-family,Black,Female,14709,79,35,Iran
128,36,Local-gov,163189,Bachelors,15,Married-civ-spouse,Other-service,Own-child,Amer-Indian-Eskimo,Female,40515,775,34,Puerto-Rico
129,20,Private,302644,HS-grad,18,Never-married,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,8081,1794,44,Vietnam
130,75,Private,174316,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,28382,1131,32,Ecuador
131,22,Local-gov,181672,Some-college,11,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,2762,3642,33,Italy
132,21,State-gov,116512,HS-grad,11,Never-married,Adm-clerical,Own-child,Other,Female,20753,3449,54,Ecuador
133,25,Private,95128,Some-college,12,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,18984,418,32,Dominican-Republic
134,22,Private,269406,HS-grad,6,Never-married,Other-service,Wife,Amer-Indian-Eskimo,Female,3180,3190,61,Portugal
135,46,Private,265848,7th-8th,3,Separated,Other-service,Not-in-family,White,Female,26270,110,13,El-Salvador
136,45,Private,15959,10th,5,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,25756,783,37,Germany
137,82,Local-gov,102299,HS-grad,9,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,23337,35,50,United-States
138,25,Private,165010,Some-college,5,Married-civ-spouse,Other-service,Own-child,Black,Female,0,2591,37,Puerto-Rico
139,49,Private,258298,Some-college,8,Separated,Sales,Not-in-family,Black,Female,26834,3900,2,Portugal
140,56,Federal-gov,272620,HS-grad,10,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,26636,4450,44,Laos
141,84,Private,192274,HS-grad,10,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,36091,3146,38,Taiwan
142,78,Private,44471,11th,11,Divorced,Adm-clerical,Own-child,Other,Female,12494,4378,5,Taiwan
143,25,Self-emp-inc,127379,7th-8th,4,Never-married,Other-service,Wife,Asian-Pac-Islander,Female,38506,1791,38,Honduras
144,79,Private,112943,Some-college,3,Separated,Adm-clerical,Not-in-family,Black,Female,8442,3719,48,Laos
145,24,Local-gov,235430,Assoc-acdm,10,Never-married,Sales,Not-in-family,White,Female,11796,3177,59,Dominican-Republic
146,50,Private,102010,Some-college,8,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Female,29064,659,36,Philippines
147,73,Private,101531,10th,10,Divorced,Prof-specialty,Wife,Other,Female,12216,3492,44,Trinadad&Tobago
148,30,Private,160457,HS-grad,8,Divorced,Prof-specialty,Not-in-family,White,Female,22751,808,30,United-States
149,72,Private,241572,HS-grad,8,Divorced,Sales,Unmarried,Black,Female,25089,4096,32,Mexico
150,17,Private,49377,Bachelors,12,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Female,27787,2086,35,France
151,22,Private,80534,Assoc-voc,9,Separated,Prof-specialty,Not-in-family,Other,Female,27220,4299,44,India
152,26,Private,278599,Bachelors,15,Never-married,Priv-house-serv,Unmarried,Black,Female,26271,2045,32,China
153,29,Private,105460,11th,9,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,23284,1469,55,India
154,77,Private,77670,9th,14,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,33873,1118,33,Dominican-Republic
155,45,Private,151447,Masters,14,Separated,Machine-op-inspct,Wife,Black,Female,26962,1124,44,Japan
156,51,Private,141558,HS-grad,13,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,2295,91,Outlying-US(Guam-USVI-etc)
157,87,Private,145155,Some-college,11,Never-married,Adm-clerical,Not-in-family,White,Female,31080,3572,46,Guatemala
158,37,Private,335650,HS-grad,10,Married-spouse-absent,Other-service,Own-child,Asian-Pac-Islander,Female,32622,2115,40,Outlying-US(Guam-USVI-etc)
159,50,Local-gov,93415,11th,19,Married-spouse-absent,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,16804,1429,47,Holand-Netherlands
160,24,Private,111487,10th,15,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,21248,1412,48,Germany
161,63,Local-gov,123181,Some-college,11,Never-married,Other-service,Unmarried,White,Female,12903,1452,33,Scotland
162,30,Self-emp-not-inc,119004,Masters,8,Never-married,Tech-support,Not-in-family,White,Female,40664,1189,22,Taiwan
163,54,Private,258525,HS-grad,11,Married-civ-spouse,Other-service,Not-in-family,Black,Female,34514,1199,36,Taiwan
164,44,Private,79917,HS-grad,9,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,15259,3853,54,Cuba
165,22,Self-emp-not-inc,171855,Some-college,11,Never-married,Farming-fishing,Not-in-family,White,Female,29677,1195,32,Philippines
166,17,Private,29114,Bachelors,8,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,36784,1412,41,China
167,90,Private,202500,11th,9,Divorced,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,1646,3,France
168,48,Private,225295,Some-college,7,Never-married,Exec-managerial,Own-child,Other,Female,32640,1878,34,Scotland
169,74,Private,198080,Some-college,8,Never-married,Prof-specialty,Unmarried,White,Female,492,2042,33,Mexico
170,58,Private,199048,HS-grad,9,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,35008,1517,33,Canada
171,29,Private,118527,Masters,11,Never-married,Other-service,Other-relative,Amer-Indian-Eskimo,Female,34122,2535,18,Greece
172,66,Local-gov,199017,Some-college,17,Married-civ-spouse,Adm-clerical,Wife,Other,Female,23449,692,43,Philippines
173,58,Private,196371,Masters,10,Never-married,Exec-managerial,Other-relative,Black,Female,36072,432,61,England
174,81,Private,151670,Some-college,11,Divorced,Protective-serv,Own-child,Black,Female,25558,1417,42,Columbia
175,63,Local-gov,53153,Bachelors,11,Never-married,Other-service,Not-in-family,White,Female,29902,3628,45,Yugoslavia
176,79,Private,108646,HS-grad,5,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,25579,365,36,Jamaica
177,61,Local-gov,201294,HS-grad,10,Widowed,Other-service,Wife,White,Female,21813,0,41,Peru
178,82,Private,161013,HS-grad,10,Married-civ-spouse,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,13383,0,32,Portugal
179,64,Private,171855,HS-grad,8,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,16421,4497,34,Germany
180,50,Private,166781,Assoc-acdm,10,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Female,22245,42,42,Trinadad&Tobago
181,54,Private,80433,HS-grad,9,Divorced,Sales,Own-child,Other,Female,32088,2799,45,Greece
182,46,Local-gov,182645,12th,19,Widowed,Prof-specialty,Unmarried,White,Female,7470,1112,44,Hong
183,62,Private,381573,HS-grad,17,Never-married,Farming-fishing,Own-child,Asian-Pac-Islander,Female,12997,1926,43,Haiti
184,53,Private,170021,HS-grad,8,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,40904,1575,55,France
185,30,Private,310420,Bachelors,18,Divorced,Other-service,Not-in-family,Black,Female,8718,3955,44,Japan
186,44,Private,35781,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,16583,4533,61,Haiti
187,31,Local-gov,145053,HS-grad,8,Never-married,Prof-specialty,Own-child,White,Female,20947,3672,57,Hong
188,45,Private,219171,HS-grad,9,Divorced,Other-service,Wife,White,Female,37113,2811,40,Nicaragua
189,24,Private,130029,7th-8th,9,Divorced,Sales,Wife,Asian-Pac-Islander,Female,25261,1979,39,Laos
190,61,Local-gov,155763,Some-college,19,Divorced,Other-service,Not-in-family,White,Female,33536,2475,55,Ecuador
191,54,Private,97130,HS-grad,7,Divorced,Adm-clerical,Wife,Asian-Pac-Islander,Female,22384,2267,34,Thailand
192,62,Federal-gov,61884,HS-grad,8,Never-married,Craft-repair,Not-in-family,Other,Female,26681,881,38,El-Salvador
193,79,Private,386343,Bachelors,10,Widowed,Adm-clerical,Wife,Asian-Pac-Islander,Female,6675,2908,59,Iran
194,70,Private,118765,Some-college,11,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Female,9661,1617,41,Italy
195,43,Federal-gov,324375,HS-grad,11,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,32288,3326,23,Ireland
196,61,Private,149395,Assoc-voc,9,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,40753,3529,44,Iran
197,33,Private,19103,HS-grad,12,Married-civ-spouse,Sales,Own-child,Black,Female,33829,3368,19,Trinadad&Tobago
198,18,Private,157098,Masters,15,Divorced,Sales,Wife,Black,Female,25343,579,43,China
199,51,Local-gov,139561,Some-college,11,Never-married,Tech-support,Unmarried,Other,Female,39819,1458,35,South
200,75,Private,50965,5th-6th,11,Never-married,Exec-managerial,Unmarried,Other,Female,29730,1009,26,Columbia
201,20,Self-emp-not-inc,124264,Some-college,7,Married-spouse-absent,Adm-clerical,Own-child,Black,Female,34506,2485,43,Guatemala
202,78,Private,36362,Some-college,2,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,40508,345,41,Iran
203,43,Private,126150,10th,9,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,1613,69,Ecuador
204,59,Local-gov,264075,11th,19,Never-married,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,29382,872,41,Vietnam
205,88,Private,85509,Some-college,11,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,23962,2174,59,France
206,77,Private,187826,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,22174,2312,51,Iran
207,75,Private,112714,Some-college,8,Never-married,Tech-support,Own-child,White,Female,9818,4281,45,China
208,74,Private,188705,HS-grad,19,Separated,Other-service,Own-child,Amer-Indian-Eskimo,Female,5895,2854,61,Trinadad&Tobago
209,77,Private,137831,Assoc-acdm,9,Widowed,Other-service,Own-child,Asian-Pac-Islander,Female,10163,0,43,Canada
210,64,Private,103200,Bachelors,9,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,0,1731,5,Outlying-US(Guam-USVI-etc)
211,18,Private,140003,Some-college,18,Married-civ-spouse,Adm-clerical,Not-in-family,Other,Female,7433,4020,17,El-Salvador
212,70,Private,251244,HS-grad,8,Never-married,Adm-clerical,Unmarried,Black,Female,36303,1095,33,Italy
213,81,Local-gov,57498,Some-college,10,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,26008,2467,33,Cambodia
214,90,Private,262612,HS-grad,10,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,25795,4270,36,Hong
215,33,Private,239548,Assoc-acdm,1,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,37716,2970,35,Yugoslavia
216,45,Private,100525,HS-grad,6,Never-married,Sales,Own-child,White,Female,29950,2694,44,Hungary
217,41,Private,233849,Masters,1,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,2856,2255,37,Laos
218,66,Private,70755,HS-grad,8,Never-married,Exec-managerial,Own-child,Black,Female,36561,3398,36,Holand-Netherlands
219,84,Private,247298,Some-college,8,Never-married,Adm-clerical,Not-in-family,Other,Female,5201,1807,41,Hong
220,21,Private,267505,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,27810,4155,38,Japan
221,63,Private,53063,Some-college,19,Separated,Adm-clerical,Not-in-family,Black,Female,36109,1621,32,Puerto-Rico
222,26,Private,276224,10th,11,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,3710,1082,47,Portugal
223,37,Private,89386,10th,9,Widowed,Other-service,Not-in-family,White,Female,24978,1784,34,Nicaragua
224,57,Private,117723,Bachelors,10,Married-civ-spouse,Adm-clerical,Unmarried,Black,Female,0,1696,38,Outlying-US(Guam-USVI-etc)
225,30,Private,375390,Masters,10,Divorced,Prof-specialty,Unmarried,Black,Female,7798,38,39,Guatemala
226,79,Private,103259,Some-college,15,Never-married,Exec-managerial,Not-in-family,Other,Female,5578,914,33,Dominican-Republic
227,17,Self-emp-inc,163708,HS-grad,19,Never-married,Exec-managerial,Not-in-family,Black,Female,21339,2214,43,England
