,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,hours-per-week,native-country
31,26,State-gov,988616,10th, Separated,Transport-moving,Unmarried,Amer-Indian-Eskimo,Male,61,Yugoslavia
32,17,Federal-gov,455147,1st-4th,Married-spouse-absent,Protective-serv,Unmarried,Amer-Indian-Eskimo,Male,5,El-Salvador
33,47,Federal-gov,1018305,9th, Separated,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,7,Ecuador
34,51,Without-pay,365355,HS-grad,Never-married,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,5,Ecuador
35,73,Without-pay,583234,Preschool,Married-AF-spouse,Machine-op-inspct,Own-child,White,Male,16,United-States
36,30,Private,304235,9th,Married-AF-spouse,Adm-clerical,Unmarried,Other,Male,9,Haiti
37,52,Self-emp-inc,1478589,1st-4th, Separated,Tech-support,Own-child,Asian-Pac-Islander,Male,75,Cambodia
38,68,State-gov,1231466,Masters,Never-married,Armed-Forces,Own-child,White,Male,18,Poland
39,58,Federal-gov,1050275,Doctorate,Married-AF-spouse,Sales,Other-relative,Other,Male,41,Philippines
40,66,Self-emp-not-inc,71100,Prof-school,Married-AF-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,77,Germany
41,60,Self-emp-inc,1310811,Assoc-acdm,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,89,Haiti
42,59,Federal-gov,1262190,Doctorate,Married-civ-spouse,Tech-support,Own-child,Amer-Indian-Eskimo,Male,4,Columbia
43,63,Local-gov,959696,HS-grad,Married-spouse-absent,Priv-house-serv,Unmarried,White,Male,8,El-Salvador
44,39,Self-emp-inc,214219,Doctorate,Divorced,Machine-op-inspct,Wife,Black,Male,37,Ecuador
45,48,Self-emp-inc,48845,11th,Widowed,Protective-serv,Wife,Amer-Indian-Eskimo,Male,76,Canada
46,22,Federal-gov,678933,Bachelors,Married-spouse-absent,Craft-repair,Unmarried,Asian-Pac-Islander,Male,47,Laos
47,63,Private,560655,Doctorate,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Male,1,Columbia
48,23,Self-emp-inc,1133505,Masters,Married-spouse-absent,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,36,India
49,53,Federal-gov,698863,Prof-school,Married-AF-spouse,Adm-clerical,Not-in-family,Other,Male,96,Philippines
50,82,Without-pay,1327210,HS-grad,Married-spouse-absent,Transport-moving,Other-relative,Other,Male,76,Haiti
51,23,Local-gov,272364,5th-6th,Married-civ-spouse,Tech-support,Own-child,Black,Male,44,Thailand
52,66,Federal-gov,428960,Some-college,Married-AF-spouse,Craft-repair,Wife,Black,Male,68,Japan
53,35,Private,1049181,Assoc-acdm,Married-AF-spouse,Farming-fishing,Unmarried,Black,Male,37,Cambodia
54,35,State-gov,797005,12th,Never-married,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,37,Trinadad&Tobago
55,18,Private,627113,Masters,Widowed,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Male,10,Ecuador
56,63,State-gov,870910,10th,Married-AF-spouse,Prof-specialty,Other-relative,Other,Male,37,Poland
57,18,Local-gov,1074772,Preschool,Widowed,Tech-support,Husband,Other,Male,44,Cuba
58,59,Without-pay,486171,1st-4th, Separated,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,58,El-Salvador
59,23,Without-pay,854430,9th,Married-spouse-absent,Prof-specialty,Other-relative,Other,Male,39,Germany
60,33,Local-gov,221343,Bachelors,Married-civ-spouse,Protective-serv,Unmarried,Black,Male,75,Dominican-Republic
61,52,Federal-gov,1451140,Masters,Never-married,Armed-Forces,Other-relative,Other,Male,65,Cambodia
62,42,Local-gov,544891,1st-4th,Divorced,Other-service,Wife,White,Male,72,Honduras
63,25,Without-pay,544552,Preschool,Widowed,Other-service,Wife,Amer-Indian-Eskimo,Male,76,Italy
64,56,Private,433239,9th,Married-spouse-absent,Farming-fishing,Not-in-family,Other,Male,81,Laos
65,55,State-gov,707650,11th,Married-civ-spouse,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Male,63,Germany
66,35,Local-gov,1051873,Some-college, Separated,Handlers-cleaners,Wife,White,Male,78,Ecuador
67,70,Federal-gov,845540,Assoc-acdm,Divorced,Protective-serv,Unmarried,Asian-Pac-Islander,Male,75,India
68,41,Local-gov,1210568,1st-4th,Never-married,Exec-managerial,Own-child,Other,Male,45,Guatemala
69,47,Self-emp-inc,100932,7th-8th, Separated,Other-service,Other-relative,Amer-Indian-Eskimo,Male,53,Peru
70,78,Without-pay,579706,Masters,Divorced,Exec-managerial,Wife,White,Male,59,Hungary
71,46,Without-pay,1016412,Bachelors,Never-married,Handlers-cleaners,Husband,Black,Male,48,Outlying-US(Guam-USVI-etc)
72,44,Without-pay,1057053,Masters,Never-married,Farming-fishing,Not-in-family,White,Male,27,Hungary
73,75,Private,1479003,10th,Divorced,Armed-Forces,Other-relative,Asian-Pac-Islander,Male,20,Ireland
74,75,Self-emp-inc,1090089,Assoc-voc,Never-married,Protective-serv,Husband,Black,Male,38,Hong
75,67,Local-gov,482827,Assoc-voc,Married-AF-spouse,Priv-house-serv,Unmarried,White,Male,3,India
76,35,Without-pay,854881,9th,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,62,Vietnam
77,85,Self-emp-inc,1372562,9th,Never-married,Farming-fishing,Own-child,Asian-Pac-Islander,Male,47,Ecuador
78,20,Without-pay,697369,1st-4th, Separated,Machine-op-inspct,Own-child,Other,Male,96,United-States
79,84,State-gov,1306348,HS-grad,Widowed,Tech-support,Wife,Black,Male,25,Guatemala
80,63,Self-emp-inc,606983,1st-4th,Married-AF-spouse,Transport-moving,Own-child,Asian-Pac-Islander,Male,42,Vietnam
81,83,Federal-gov,485864,7th-8th,Never-married,Exec-managerial,Not-in-family,White,Male,99,Italy
82,89,Private,1142627,9th, Separated,Farming-fishing,Not-in-family,White,Male,47,Trinadad&Tobago
83,81,Federal-gov,229135,1st-4th,Married-civ-spouse,Farming-fishing,Own-child,White,Male,28,Canada
84,60,Self-emp-not-inc,922711,11th,Divorced,Sales,Other-relative,Other,Male,29,Portugal
85,85,Without-pay,1433036,Assoc-voc,Married-spouse-absent,Sales,Own-child,Asian-Pac-Islander,Male,26,Hungary
86,75,Federal-gov,243784,12th,Widowed,Sales,Husband,Amer-Indian-Eskimo,Male,44,Germany
87,59,State-gov,82521,Masters,Married-AF-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,99,France
88,80,Self-emp-inc,1071829,Assoc-voc, Separated,Exec-managerial,Own-child,Black,Male,75,Poland
89,30,Federal-gov,256790,Prof-school,Widowed,Handlers-cleaners,Unmarried,Other,Male,26,Haiti
90,76,Private,872939,Assoc-acdm,Married-spouse-absent,Other-service,Not-in-family,Other,Male,28,Honduras
91,76,Federal-gov,814768,7th-8th,Married-civ-spouse,Priv-house-serv,Other-relative,Asian-Pac-Islander,Male,15,Laos
92,80,Self-emp-not-inc,838778,11th,Married-AF-spouse,Priv-house-serv,Husband,Asian-Pac-Islander,Male,36,Hungary
93,86,Self-emp-inc,1278350,Assoc-acdm, Separated,Sales,Unmarried,White,Male,61,Japan
94,41,Self-emp-not-inc,496776,Prof-school,Never-married,Prof-specialty,Own-child,White,Male,60,Poland
95,52,Self-emp-inc,36328,HS-grad,Divorced,Tech-support,Own-child,Other,Male,41,Mexico
96,32,Federal-gov,806766,1st-4th,Never-married,Farming-fishing,Wife,Asian-Pac-Islander,Male,40,Outlying-US(Guam-USVI-etc)
97,46,Federal-gov,47409,HS-grad,Married-spouse-absent,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Male,29,Ecuador
98,83,Federal-gov,374969,Assoc-acdm,Widowed,Tech-support,Not-in-family,Black,Male,24,Trinadad&Tobago
99,47,Federal-gov,238882,Assoc-voc,Divorced,Adm-clerical,Other-relative,Black,Male,65,Yugoslavia
100,66,Federal-gov,1289033,Bachelors,Never-married,Exec-managerial,Wife,White,Male,97,Nicaragua
101,50,Federal-gov,1174162,Doctorate,Married-AF-spouse,Handlers-cleaners,Own-child,White,Male,97,Peru
102,78,Self-emp-not-inc,601137,Preschool,Divorced,Armed-Forces,Husband,Black,Male,88,Ireland
103,78,Without-pay,1149125,9th,Married-civ-spouse,Tech-support,Husband,Black,Male,50,Ecuador
104,83,Federal-gov,885374,Masters, Separated,Transport-moving,Husband,Other,Male,82,Portugal
105,84,State-gov,947032,HS-grad,Married-AF-spouse,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,98,Italy
106,51,Federal-gov,195403,12th,Married-civ-spouse,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,76,Cambodia
107,89,Local-gov,1166337,7th-8th,Divorced,Craft-repair,Not-in-family,Black,Male,74,Philippines
108,85,Federal-gov,1160268,12th,Married-civ-spouse,Craft-repair,Wife,White,Male,11,France
109,55,Private,192916,1st-4th,Married-civ-spouse,Craft-repair,Unmarried,Black,Male,12,Puerto-Rico
110,35,Without-pay,206015,Assoc-acdm,Married-AF-spouse,Adm-clerical,Own-child,Black,Male,22,Mexico
111,89,Federal-gov,98604,7th-8th,Married-civ-spouse,Tech-support,Husband,White,Male,2,Philippines
112,52,State-gov,1022729,12th,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,24,Yugoslavia
113,61,Private,965215,10th,Married-spouse-absent,Handlers-cleaners,Own-child,White,Male,73,England
114,83,Private,545323,Doctorate,Widowed,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,96,Haiti
115,46,Local-gov,220443,7th-8th,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,14,Peru
116,74,Self-emp-inc,855817,11th,Married-AF-spouse,Exec-managerial,Wife,Other,Male,84,China
117,27,Self-emp-not-inc,1441228,9th, Separated,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,40,Hungary
118,87,Self-emp-not-inc,1390044,Assoc-acdm,Married-civ-spouse,Farming-fishing,Wife,Asian-Pac-Islander,Male,23,Ecuador
119,67,State-gov,454180,Assoc-acdm, Separated,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,60,Ireland
120,28,Federal-gov,369534,Bachelors, Separated,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Male,88,Puerto-Rico
121,76,Federal-gov,1124167,1st-4th,Never-married,Prof-specialty,Other-relative,Other,Male,47,Guatemala
122,73,Private,736336,Some-college,Divorced,Craft-repair,Unmarried,Asian-Pac-Islander,Male,44,Philippines
123,62,Self-emp-inc,1372636,Bachelors,Widowed,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,55,Germany
124,36,Federal-gov,565359,5th-6th,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,89,England
125,47,Local-gov,1356516,7th-8th,Divorced,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,4,Greece
126,74,Without-pay,1472362,12th,Married-spouse-absent,Protective-serv,Wife,Other,Male,92,El-Salvador
127,20,State-gov,426756,Preschool,Married-AF-spouse,Tech-support,Other-relative,White,Male,90,El-Salvador
128,72,Private,788879,Some-college,Married-spouse-absent,Adm-clerical,Unmarried,White,Male,58,United-States
129,68,Local-gov,608540,Assoc-acdm,Never-married,Sales,Other-relative,White,Male,7,Iran
130,78,Local-gov,431753,Preschool,Married-civ-spouse,Adm-clerical,Other-relative,Black,Male,71,Philippines
131,17,Self-emp-inc,323747,Masters,Married-AF-spouse,Handlers-cleaners,Own-child,Black,Male,7,Cambodia
132,52,Self-emp-not-inc,979316,9th,Divorced,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,62,China
133,27,Self-emp-inc,129549,12th,Married-spouse-absent,Sales,Husband,Black,Male,73,Taiwan
134,74,Private,608200,1st-4th,Married-civ-spouse,Priv-house-serv,Own-child,Asian-Pac-Islander,Male,5,El-Salvador
135,56,Without-pay,112962,Masters,Never-married,Adm-clerical,Other-relative,Other,Male,25,Vietnam
136,61,Self-emp-not-inc,409185,11th,Married-spouse-absent,Protective-serv,Wife,Other,Male,79,Outlying-US(Guam-USVI-etc)
137,36,Local-gov,32692,9th,Married-spouse-absent,Armed-Forces,Wife,Amer-Indian-Eskimo,Male,66,France
138,39,Self-emp-inc,260742,Doctorate,Married-spouse-absent,Other-service,Wife,Other,Male,4,South
139,58,Without-pay,1295726,Prof-school,Widowed,Tech-support,Husband,Black,Male,62,Peru
140,71,Local-gov,127648,7th-8th,Widowed,Priv-house-serv,Not-in-family,White,Male,43,Italy
141,31,Self-emp-not-inc,1002137,Assoc-voc,Married-spouse-absent,Protective-serv,Not-in-family,Other,Male,94,Haiti
142,53,Self-emp-inc,1412367,11th,Married-spouse-absent,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,83,Greece
143,50,State-gov,1314262,11th,Divorced,Adm-clerical,Not-in-family,Black,Male,73,Outlying-US(Guam-USVI-etc)
144,75,Self-emp-not-inc,1340372,5th-6th,Divorced,Transport-moving,Husband,Other,Male,29,Columbia
145,82,State-gov,68777,9th,Never-married,Exec-managerial,Unmarried,White,Male,89,Canada
146,59,State-gov,422725,Prof-school, Separated,Sales,Husband,Other,Male,66,Cuba
147,31,Self-emp-not-inc,156946,Assoc-acdm,Married-AF-spouse,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,65,Guatemala
148,40,Private,1332501,Doctorate,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,16,Japan
149,48,State-gov,1332225,1st-4th,Married-AF-spouse,Tech-support,Other-relative,Other,Male,3,England
150,35,Self-emp-inc,1131854,Preschool,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Male,3,Cambodia
151,60,Without-pay,1161631,Bachelors,Married-spouse-absent,Other-service,Wife,White,Male,44,Hong
152,85,Self-emp-not-inc,1298483,5th-6th,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Male,96,Holand-Netherlands
153,69,State-gov,987316,Assoc-acdm, Separated,Farming-fishing,Husband,White,Male,88,Italy
154,33,State-gov,1347773,Bachelors,Married-spouse-absent,Farming-fishing,Wife,Other,Male,40,Jamaica
155,42,Self-emp-inc,15478,Assoc-acdm,Divorced,Protective-serv,Husband,Black,Male,77,El-Salvador
156,53,Self-emp-inc,354543,Bachelors, Separated,Tech-support,Other-relative,Black,Male,25,Ecuador
157,85,Local-gov,1235646,Prof-school,Married-spouse-absent,Tech-support,Wife,Other,Male,19,Ecuador
158,69,Self-emp-not-inc,248011,Some-college, Separated,Priv-house-serv,Unmarried,Asian-Pac-Islander,Male,21,Laos
159,54,Self-emp-not-inc,1178339,9th,Married-civ-spouse,Handlers-cleaners,Other-relative,Black,Male,45,Guatemala
160,48,Local-gov,1243584,HS-grad,Widowed,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,4,Nicaragua
161,47,Private,779586,10th,Widowed,Machine-op-inspct,Unmarried,Other,Male,39,Iran
162,57,Self-emp-not-inc,829205,Preschool,Never-married,Adm-clerical,Unmarried,White,Male,1,Laos
163,31,Private,39899,7th-8th,Widowed,Other-service,Not-in-family,Black,Male,25,Iran
164,17,Self-emp-not-inc,609612,Doctorate,Married-civ-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,16,Holand-Netherlands
165,48,Local-gov,700884,Doctorate, Separated,Other-service,Other-relative,Black,Male,12,South
166,77,Self-emp-inc,914591,Preschool,Never-married,Machine-op-inspct,Wife,White,Male,52,Iran
167,88,Local-gov,947978,Bachelors,Divorced,Handlers-cleaners,Unmarried,White,Male,15,Greece
168,33,Local-gov,155314,11th,Divorced,Armed-Forces,Other-relative,Other,Male,67,Vietnam
169,57,State-gov,1274726,5th-6th,Married-civ-spouse,Farming-fishing,Wife,Other,Male,31,Peru
170,53,Self-emp-not-inc,418379,1st-4th,Never-married,Armed-Forces,Own-child,White,Male,40,Hong
171,68,Self-emp-not-inc,1146204,Assoc-voc,Married-AF-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,78,El-Salvador
172,39,Self-emp-not-inc,321413,Doctorate,Never-married,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,31,United-States
173,54,Private,226902,Prof-school,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,2,Nicaragua
174,46,Self-emp-not-inc,427148,9th,Never-married,Handlers-cleaners,Husband,White,Male,42,Italy
175,89,Federal-gov,515963,HS-grad,Widowed,Priv-house-serv,Other-relative,Asian-Pac-Islander,Male,22,Columbia
176,33,Local-gov,236072,Some-college,Divorced,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,90,United-States
177,58,Federal-gov,181562,10th,Married-spouse-absent,Craft-repair,Wife,White,Male,62,Cambodia
178,53,Self-emp-not-inc,226069,Assoc-acdm,Widowed,Machine-op-inspct,Husband,White,Male,86,Yugoslavia
179,88,Without-pay,128455,1st-4th,Divorced,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,89,Puerto-Rico
180,35,Private,1470705,10th,Never-married,Protective-serv,Unmarried,Other,Male,76,Guatemala
181,80,Local-gov,117552,7th-8th,Married-AF-spouse,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,26,Ireland
182,74,Self-emp-not-inc,1271177,1st-4th,Divorced,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,4,Yugoslavia
183,17,Private,1348258,7th-8th, Separated,Protective-serv,Wife,Amer-Indian-Eskimo,Male,44,Poland
184,45,Without-pay,696276,Some-college,Never-married,Adm-clerical,Own-child,White,Male,63,Italy
185,85,Without-pay,46668,Doctorate,Never-married,Tech-support,Husband,Amer-Indian-Eskimo,Male,50,Ecuador
186,21,Self-emp-inc,13908,Assoc-voc,Married-civ-spouse,Other-service,Other-relative,White,Male,56,Vietnam
187,18,State-gov,1268152,Bachelors,Divorced,Exec-managerial,Other-relative,Other,Male,83,Haiti
188,46,Self-emp-not-inc,501670,5th-6th,Divorced,Farming-fishing,Unmarried,White,Male,33,Ecuador
189,73,Without-pay,77935,Bachelors,Married-civ-spouse,Tech-support,Not-in-family,Other,Male,58,El-Salvador
190,29,State-gov,891287,Preschool, Separated,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,27,Cambodia
191,82,Federal-gov,1148049,9th,Never-married,Adm-clerical,Other-relative,Black,Male,43,Vietnam
192,22,Federal-gov,1168243,7th-8th,Never-married,Adm-clerical,Own-child,Black,Male,26,Peru
193,64,Self-emp-inc,238675,10th,Married-civ-spouse,Exec-managerial,Other-relative,Other,Male,79,Trinadad&Tobago
194,48,Self-emp-not-inc,1245673,Doctorate,Married-AF-spouse,Armed-Forces,Other-relative,Black,Male,53,Columbia
195,84,Federal-gov,161164,Prof-school,Married-spouse-absent,Craft-repair,Other-relative,Black,Male,21,Guatemala
196,44,Without-pay,1027792,5th-6th,Married-civ-spouse,Farming-fishing,Own-child,Black,Male,70,Cuba
197,63,Federal-gov,61469,Masters,Never-married,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Male,39,Haiti
198,32,Self-emp-not-inc,1247648,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,49,Holand-Netherlands
199,77,Local-gov,121882,12th,Married-spouse-absent,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,44,Mexico
200,48,Without-pay,369314,Preschool,Divorced,Transport-moving,Husband,Amer-Indian-Eskimo,Male,42,Honduras
201,27,Federal-gov,1061758,11th,Married-AF-spouse,Transport-moving,Own-child,Other,Male,44,Ecuador
202,37,Local-gov,928345,Prof-school,Widowed,Transport-moving,Not-in-family,Other,Male,70,Columbia
203,88,Private,938084,10th,Divorced,Transport-moving,Own-child,Other,Male,33,Hong
204,33,Private,1337949,5th-6th,Married-AF-spouse,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,51,Taiwan
205,84,Federal-gov,741746,Doctorate,Never-married,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,12,Poland
206,80,State-gov,794595,1st-4th,Married-civ-spouse,Other-service,Other-relative,White,Male,33,El-Salvador
207,50,Federal-gov,1333223,Masters,Never-married,Craft-repair,Not-in-family,Other,Male,84,Philippines
208,59,State-gov,901860,10th,Married-spouse-absent,Other-service,Own-child,Amer-Indian-Eskimo,Male,37,Philippines
209,70,State-gov,868442,Prof-school,Divorced,Priv-house-serv,Other-relative,Black,Male,16,England
210,66,Private,1351928,Doctorate,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,79,Canada
211,40,Without-pay,461081,Doctorate,Married-AF-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,20,Columbia
212,46,Self-emp-not-inc,622615,Assoc-acdm,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,63,Yugoslavia
213,50,Self-emp-inc,818249,9th,Married-spouse-absent,Craft-repair,Unmarried,Asian-Pac-Islander,Male,47,France
214,52,Local-gov,1129753,9th, Separated,Protective-serv,Own-child,Other,Male,93,Portugal
215,78,Private,924761,9th,Divorced,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,67,Guatemala
216,29,Without-pay,481261,12th, Separated,Protective-serv,Not-in-family,Black,Male,2,France
217,21,Self-emp-not-inc,317745,Assoc-acdm,Divorced,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,25,Iran
218,59,State-gov,167967,9th,Married-AF-spouse,Protective-serv,Other-relative,Asian-Pac-Islander,Male,4,Greece
219,75,Federal-gov,252867,Assoc-acdm, Separated,Other-service,Wife,Amer-Indian-Eskimo,Male,79,Cambodia
220,69,Federal-gov,1052862,Prof-school, Separated,Protective-serv,Unmarried,Asian-Pac-Islander,Male,2,Ecuador
221,30,Private,73220,Bachelors,Never-married,Transport-moving,Wife,Black,Male,42,Italy
222,76,Local-gov,220125,7th-8th,Married-AF-spouse,Protective-serv,Own-child,White,Male,36,Laos
223,65,Self-emp-inc,348233,9th,Married-civ-spouse,Adm-clerical,Not-in-family,Other,Male,63,England
224,67,Without-pay,104594,Bachelors,Married-civ-spouse,Adm-clerical,Unmarried,Black,Male,42,Columbia
225,23,Private,912376,Preschool,Never-married,Craft-repair,Own-child,Black,Male,50,Puerto-Rico
226,86,Without-pay,34560,HS-grad,Divorced,Tech-support,Not-in-family,Black,Male,66,Portugal
227,21,Federal-gov,606962,HS-grad,Married-civ-spouse,Priv-house-serv,Not-in-family,Other,Male,88,United-States
228,18,Self-emp-not-inc,1343288,Assoc-voc,Never-married,Sales,Husband,White,Male,98,India
229,70,Federal-gov,840781,5th-6th,Married-AF-spouse,Armed-Forces,Not-in-family,Asian-Pac-Islander,Male,85,Trinadad&Tobago
230,41,Self-emp-not-inc,1029424,10th,Divorced,Farming-fishing,Own-child,White,Male,11,Poland
231,30,Self-emp-inc,142294,11th, Separated,Sales,Unmarried,White,Male,12,Peru
232,84,State-gov,1226726,10th,Never-married,Priv-house-serv,Wife,Other,Male,84,Dominican-Republic
233,42,Local-gov,572825,Bachelors,Widowed,Craft-repair,Own-child,Black,Male,99,Greece
234,49,Self-emp-inc,507607,HS-grad,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,42,Holand-Netherlands
235,31,Local-gov,63322,Assoc-voc,Married-AF-spouse,Exec-managerial,Other-relative,Other,Male,12,Holand-Netherlands
236,46,Self-emp-not-inc,320699,10th, Separated,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,60,Dominican-Republic
237,43,State-gov,1430636,5th-6th,Married-civ-spouse,Craft-repair,Own-child,White,Male,38,Laos
238,53,Local-gov,52287,10th,Married-AF-spouse,Priv-house-serv,Wife,Black,Male,21,Ireland
239,85,Self-emp-not-inc,282571,12th,Never-married,Priv-house-serv,Wife,Amer-Indian-Eskimo,Male,97,Puerto-Rico
240,31,State-gov,558747,Preschool,Married-AF-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,45,Germany
241,74,Local-gov,1128835,5th-6th,Widowed,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,90,Taiwan
242,46,Without-pay,615464,5th-6th,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,29,Philippines
243,82,Without-pay,42038,HS-grad,Married-AF-spouse,Exec-managerial,Not-in-family,White,Male,74,Ireland
